"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_84065_1",0,0,0,0,0,0
"scaffold_84065_2",0,0,0,0,0,0
"scaffold_87545_1",0,0,0,0,0,0
"scaffold_87545_2",0,0,0,0,0,0
"scaffold_9393_1",0,0,0,0,0,0
"scaffold_9393_2",0,0,0,0,0,0
"scaffold_9393_3",0,0,0,0,0,0
"scaffold_9393_4",0,1,0,0,0,0
"scaffold_9393_5",0,0,0,0,0,0
"scaffold_9393_6",0,0,0,0,0,0
"scaffold_89219_1",0,0,0,0,0,0
"scaffold_68046_1",0,0,0,0,0,0
"scaffold_68046_2",0,0,0,0,0,0
"scaffold_68595_1",0,0,0,0,0,0
"scaffold_85506_1",0,0,0,0,0,0
"scaffold_85506_2",0,0,0,0,0,0
"scaffold_10841_1",0,0,0,0,0,0
"scaffold_10841_2",0,0,0,0,0,0
"scaffold_10841_3",0,0,0,0,0,0
"scaffold_10841_4",0,0,0,0,0,0
"scaffold_10841_5",0,0,0,0,0,0
"scaffold_10841_6",0,0,0,0,0,0
"scaffold_10841_7",0,0,0,0,0,0
"scaffold_10841_8",0,0,0,0,0,0
"scaffold_10841_9",0,0,1,0,0,0
"scaffold_10841_10",0,0,1,0,0,0
"scaffold_10841_11",0,0,0,0,0,0
"scaffold_8077_1",0,0,0,0,0,0
"scaffold_8077_2",0,0,0,0,0,0
"scaffold_8077_3",0,0,0,0,0,0
"scaffold_8077_4",0,0,1,0,0,0
"scaffold_8077_5",0,0,0,0,0,0
"scaffold_8077_6",0,0,0,0,0,0
"scaffold_8077_7",0,0,0,0,0,0
"scaffold_8077_8",0,0,0,0,0,0
"scaffold_8077_9",0,0,0,0,0,0
"scaffold_8077_10",0,0,0,0,0,0
"scaffold_51691_1",0,0,0,2,0,0
"scaffold_41636_1",0,0,0,0,0,0
"scaffold_41636_2",0,0,0,0,0,0
"scaffold_41636_3",0,0,0,0,0,0
"scaffold_22635_1",0,0,0,0,0,0
"scaffold_22635_2",0,0,0,0,0,0
"scaffold_22635_3",0,0,0,0,0,0
"scaffold_22635_4",0,0,0,0,0,0
"scaffold_54396_1",0,0,0,0,0,0
"scaffold_54396_2",0,0,0,0,0,0
"scaffold_54396_3",0,0,0,0,0,0
"scaffold_59988_1",0,0,0,0,0,0
"scaffold_59988_2",0,0,0,0,0,0
"scaffold_59988_3",0,0,0,0,0,0
"scaffold_60276_1",0,0,0,0,0,0
"scaffold_60276_2",0,0,1,0,0,0
"scaffold_88418_1",0,0,0,0,0,0
"scaffold_88418_2",0,0,0,0,0,0
"scaffold_69218_1",0,0,0,0,0,0
"scaffold_69218_2",0,0,0,0,0,0
"scaffold_69218_3",0,0,0,0,0,0
"scaffold_79261_1",0,0,0,0,0,0
"scaffold_79261_2",0,0,0,0,0,0
"scaffold_81162_1",0,0,0,0,0,0
"scaffold_53685_1",0,0,0,0,0,0
"scaffold_53685_2",0,0,0,0,0,0
"scaffold_71534_1",0,0,0,0,0,0
"scaffold_71534_2",0,0,0,0,0,0
"scaffold_22157_1",0,0,0,0,0,0
"scaffold_22157_2",0,0,0,0,0,0
"scaffold_22157_3",3,0,0,0,0,0
"scaffold_37398_1",0,0,0,0,0,0
"scaffold_37398_2",0,0,0,0,0,0
"scaffold_87389_1",0,0,0,0,0,0
"scaffold_87389_2",0,0,0,0,0,0
"scaffold_45824_1",0,0,0,0,0,0
"scaffold_45824_2",0,0,0,0,0,0
"scaffold_39988_1",0,0,0,0,0,0
"scaffold_39988_2",0,0,0,0,0,0
"scaffold_39988_3",0,0,0,0,0,0
"scaffold_85771_1",0,0,0,0,0,0
"scaffold_85771_2",0,0,0,0,0,0
"scaffold_82404_1",0,0,0,0,0,0
"scaffold_23170_1",0,0,0,0,0,0
"scaffold_23170_2",0,0,0,0,0,0
"scaffold_23170_3",0,0,0,0,0,0
"scaffold_23170_4",0,0,0,0,0,0
"scaffold_72746_1",0,0,0,0,0,0
"scaffold_72746_2",0,0,0,0,0,0
"scaffold_63223_1",0,0,0,0,0,0
"scaffold_10711_1",0,0,0,0,0,0
"scaffold_10711_2",0,0,0,0,0,0
"scaffold_10711_3",0,0,0,0,0,0
"scaffold_10711_4",0,0,0,0,0,0
"scaffold_10711_5",0,0,0,0,0,0
"scaffold_10711_6",0,0,0,0,0,0
"scaffold_10711_7",0,0,0,0,0,0
"scaffold_10711_8",0,0,0,0,0,0
"scaffold_49390_1",0,0,1,0,0,0
"scaffold_17242_1",0,0,0,0,0,0
"scaffold_17242_2",0,0,0,0,0,0
"scaffold_49744_1",0,0,0,0,0,0
"scaffold_49744_2",0,0,0,0,0,0
"scaffold_41512_1",0,0,0,0,0,0
"scaffold_41512_2",0,0,0,0,0,0
"scaffold_41512_3",0,0,0,0,0,0
"scaffold_30939_1",0,0,0,0,0,0
"scaffold_30939_2",0,0,0,0,0,0
"scaffold_30939_3",0,0,0,0,0,0
"scaffold_4796_1",0,0,0,0,0,0
"scaffold_4796_2",0,0,0,0,0,0
"scaffold_4796_3",0,0,0,0,0,0
"scaffold_4796_4",0,0,0,0,0,0
"scaffold_4796_5",0,0,0,0,0,0
"scaffold_4796_6",0,0,0,0,0,0
"scaffold_4796_7",0,0,0,0,0,0
"scaffold_4796_8",0,0,0,0,0,0
"scaffold_4796_9",0,0,0,0,0,0
"scaffold_4796_10",0,0,1,0,0,0
"scaffold_4796_11",0,0,0,0,0,0
"scaffold_4796_12",0,0,0,0,0,0
"scaffold_4796_13",0,0,0,0,0,0
"scaffold_4796_14",0,0,0,0,0,0
"scaffold_4796_15",0,0,0,0,0,0
"scaffold_4796_16",0,0,0,0,0,0
"scaffold_51136_1",0,0,0,0,0,0
"scaffold_51136_2",0,0,3,0,0,0
"scaffold_19810_1",0,0,0,0,0,0
"scaffold_19810_2",0,0,0,0,0,0
"scaffold_19810_3",0,0,0,0,0,0
"scaffold_19810_4",0,0,0,0,0,0
"scaffold_19810_5",0,0,0,0,0,0
"scaffold_83020_1",0,0,0,0,0,0
"scaffold_61441_1",0,0,0,0,0,0
"scaffold_61441_2",0,0,0,0,0,0
"scaffold_61441_3",0,0,0,0,0,0
"scaffold_32938_1",0,0,0,0,0,0
"scaffold_32938_2",0,0,0,0,0,0
"scaffold_645_1",0,0,0,0,0,0
"scaffold_645_2",0,0,0,0,0,0
"scaffold_645_3",0,0,0,0,0,0
"scaffold_645_4",0,0,0,0,0,0
"scaffold_645_5",0,0,0,0,0,0
"scaffold_645_6",0,0,0,0,0,0
"scaffold_645_7",0,0,0,0,0,0
"scaffold_645_8",0,0,0,0,0,0
"scaffold_645_9",0,0,0,0,0,0
"scaffold_645_10",0,0,0,0,0,0
"scaffold_645_11",0,0,0,0,0,0
